tip_id,year,treatment,end_year,StartDate,EndDate,Status,age_band,cohort_2022,race,gender,census_tract,participated_tip,graduated_tip,employed_full_year,employed_partial_year,earnings_full_year,offense_count_year,offended_year,has_offense_by_year,has_offense_prior_to_year,graduatedXcohort
1331,2017,1,2021.0,2021-03-22,2021-04-09 00:00:00+00:00,Graduated,25-34,0.0,Unknown,Unknown,Unknown,0,0,1,1,19843.152056207662,0,0,0,0,0.0
1331,2018,1,2021.0,2021-03-22,2021-04-09 00:00:00+00:00,Graduated,25-34,0.0,Unknown,Unknown,Unknown,0,0,1,1,50400.88819239772,0,0,0,0,0.0
1331,2019,1,2021.0,2021-03-22,2021-04-09 00:00:00+00:00,Graduated,25-34,0.0,Unknown,Unknown,Unknown,0,0,1,1,29640.240145555414,0,0,0,0,0.0
1331,2020,1,2021.0,2021-03-22,2021-04-09 00:00:00+00:00,Graduated,25-34,0.0,Unknown,Unknown,Unknown,0,0,1,1,25467.21089072997,0,0,0,0,0.0
1331,2021,1,2021.0,2021-03-22,2021-04-09 00:00:00+00:00,Graduated,25-34,0.0,Unknown,Unknown,Unknown,1,1,1,1,11967.067926605532,0,0,0,0,0.0
1331,2022,1,2021.0,2021-03-22,2021-04-09 00:00:00+00:00,Graduated,25-34,0.0,Unknown,Unknown,Unknown,1,1,1,1,33394.275995149736,0,0,0,0,0.0
1331,2023,1,2021.0,2021-03-22,2021-04-09 00:00:00+00:00,Graduated,25-34,0.0,Unknown,Unknown,Unknown,1,1,1,1,28718.12201371619,0,0,0,0,0.0
1331,2024,1,2021.0,2021-03-22,2021-04-09 00:00:00+00:00,Graduated,25-34,0.0,Unknown,Unknown,Unknown,1,1,0,1,6050.248818870281,0,0,0,0,0.0
1032,2017,1,2019.0,2019-07-22,2019-10-04 00:00:00+00:00,Graduated,25-34,0.0,Unknown,Unknown,Unknown,0,0,1,1,14551.479423598945,0,0,0,0,0.0
1032,2018,1,2019.0,2019-07-22,2019-10-04 00:00:00+00:00,Graduated,25-34,0.0,Unknown,Unknown,Unknown,0,0,0,1,7707.99877895833,0,0,0,0,0.0
1032,2019,1,2019.0,2019-07-22,2019-10-04 00:00:00+00:00,Graduated,25-34,0.0,Unknown,Unknown,Unknown,1,1,0,1,2214.309084900984,0,0,0,0,0.0
1032,2020,1,2019.0,2019-07-22,2019-10-04 00:00:00+00:00,Graduated,25-34,0.0,Unknown,Unknown,Unknown,1,1,0,0,0.0,0,0,0,0,0.0
1032,2021,1,2019.0,2019-07-22,2019-10-04 00:00:00+00:00,Graduated,25-34,0.0,Unknown,Unknown,Unknown,1,1,0,0,0.0,0,0,0,0,0.0
1032,2022,1,2019.0,2019-07-22,2019-10-04 00:00:00+00:00,Graduated,25-34,0.0,Unknown,Unknown,Unknown,1,1,0,0,0.0,0,0,0,0,0.0
1032,2023,1,2019.0,2019-07-22,2019-10-04 00:00:00+00:00,Graduated,25-34,0.0,Unknown,Unknown,Unknown,1,1,0,1,122.54524590377706,0,0,0,0,0.0
1032,2024,1,2019.0,2019-07-22,2019-10-04 00:00:00+00:00,Graduated,25-34,0.0,Unknown,Unknown,Unknown,1,1,0,0,0.0,0,0,0,0,0.0
