unit_id,tip_id,pcs_off_id,unit_type,treatment,StartDate,start_year,cohort_2022,gender,race,year_of_birth,age_of_first_offense,num_sentences_before_start,any_high_ogs_before_start,num_offenses_before_start,earnings_2yr_preTIP,job_right_before_tip,psm_distance,upper_date,year_offset,year,year_start_date,year_end_date,in_post_1p5_window,post,earnings_year,employed_year,has_prior_offense_by_year,has_offense_by_year,offense_count_year,has_offense_year,has_prior_offense_before_start,recidivism_year
C_1007_848119.0,1007,848119.0,control,0,2019-06-17,2019,0.0,Male,White,1987.0,30.0,2.0,1.0,2.0,0.0,0.0,0.0,2020-12-15,1,2020,2020-01-01,2021-01-01,1,1,3990.2914937759338,1.0,1,1,0.0,0.0,1,0
C_1008_782935.0,1008,782935.0,control,0,2019-06-17,2019,0.0,Female,White,1991.0,27.0,0.0,0.0,1.0,15683.77245635521,1.0,0.34101470287217844,2020-12-15,-2,2017,2017-01-01,2018-01-01,0,0,0.0,0.0,0,0,0.0,0.0,1,0
C_1008_782935.0,1008,782935.0,control,0,2019-06-17,2019,0.0,Female,White,1991.0,27.0,0.0,0.0,1.0,15683.77245635521,1.0,0.34101470287217844,2020-12-15,-1,2018,2018-01-01,2019-01-01,0,0,0.0,0.0,0,0,0.0,0.0,1,0
C_1008_782935.0,1008,782935.0,control,0,2019-06-17,2019,0.0,Female,White,1991.0,27.0,0.0,0.0,1.0,15683.77245635521,1.0,0.34101470287217844,2020-12-15,0,2019,2019-01-01,2020-01-01,1,1,455.9528525862859,1.0,0,1,0.0,0.0,1,0
C_1008_782935.0,1008,782935.0,control,0,2019-06-17,2019,0.0,Female,White,1991.0,27.0,0.0,0.0,1.0,15683.77245635521,1.0,0.34101470287217844,2020-12-15,1,2020,2020-01-01,2021-01-01,1,1,2403.317199128223,1.0,1,1,0.0,0.0,1,0
C_1008_883188.0,1008,883188.0,control,0,2019-06-17,2019,0.0,Female,White,1991.0,26.0,0.0,0.0,1.0,7759.941441433707,1.0,0.562304009386702,2020-12-15,-2,2017,2017-01-01,2018-01-01,0,0,0.0,0.0,0,1,0.0,0.0,1,0
C_1008_883188.0,1008,883188.0,control,0,2019-06-17,2019,0.0,Female,White,1991.0,26.0,0.0,0.0,1.0,7759.941441433707,1.0,0.562304009386702,2020-12-15,-1,2018,2018-01-01,2019-01-01,0,0,0.0,0.0,1,1,0.0,0.0,1,0
C_1008_883188.0,1008,883188.0,control,0,2019-06-17,2019,0.0,Female,White,1991.0,26.0,0.0,0.0,1.0,7759.941441433707,1.0,0.562304009386702,2020-12-15,0,2019,2019-01-01,2020-01-01,1,1,0.0,0.0,1,1,1.0,1.0,1,1
C_1008_883188.0,1008,883188.0,control,0,2019-06-17,2019,0.0,Female,White,1991.0,26.0,0.0,0.0,1.0,7759.941441433707,1.0,0.562304009386702,2020-12-15,1,2020,2020-01-01,2021-01-01,1,1,0.0,0.0,1,1,0.0,0.0,1,0
C_1008_889355.0,1008,889355.0,control,0,2019-06-17,2019,0.0,Female,White,1991.0,27.0,0.0,0.0,1.0,20343.622768604815,1.0,0.0,2020-12-15,-2,2017,2017-01-01,2018-01-01,0,0,0.0,0.0,0,0,0.0,0.0,1,0
C_1008_889355.0,1008,889355.0,control,0,2019-06-17,2019,0.0,Female,White,1991.0,27.0,0.0,0.0,1.0,20343.622768604815,1.0,0.0,2020-12-15,-1,2018,2018-01-01,2019-01-01,0,0,0.0,0.0,0,0,0.0,0.0,1,0
C_1008_889355.0,1008,889355.0,control,0,2019-06-17,2019,0.0,Female,White,1991.0,27.0,0.0,0.0,1.0,20343.622768604815,1.0,0.0,2020-12-15,0,2019,2019-01-01,2020-01-01,1,1,0.0,0.0,0,1,0.0,0.0,1,0
C_1008_889355.0,1008,889355.0,control,0,2019-06-17,2019,0.0,Female,White,1991.0,27.0,0.0,0.0,1.0,20343.622768604815,1.0,0.0,2020-12-15,1,2020,2020-01-01,2021-01-01,1,1,0.0,0.0,1,1,0.0,0.0,1,0
C_1008_893374.0,1008,893374.0,control,0,2019-06-17,2019,0.0,Female,White,1991.0,26.0,0.0,0.0,1.0,8096.935100411507,1.0,0.5838982560232246,2020-12-15,-2,2017,2017-01-01,2018-01-01,0,0,0.0,0.0,0,0,0.0,0.0,1,0
C_1008_893374.0,1008,893374.0,control,0,2019-06-17,2019,0.0,Female,White,1991.0,26.0,0.0,0.0,1.0,8096.935100411507,1.0,0.5838982560232246,2020-12-15,-1,2018,2018-01-01,2019-01-01,0,0,0.0,0.0,0,1,0.0,0.0,1,0
C_1008_893374.0,1008,893374.0,control,0,2019-06-17,2019,0.0,Female,White,1991.0,26.0,0.0,0.0,1.0,8096.935100411507,1.0,0.5838982560232246,2020-12-15,0,2019,2019-01-01,2020-01-01,1,1,0.0,0.0,1,1,0.0,0.0,1,0
C_1008_893374.0,1008,893374.0,control,0,2019-06-17,2019,0.0,Female,White,1991.0,26.0,0.0,0.0,1.0,8096.935100411507,1.0,0.5838982560232246,2020-12-15,1,2020,2020-01-01,2021-01-01,1,1,0.0,0.0,1,1,4.0,1.0,1,1
C_1011_1096167.0,1011,1096167.0,control,0,2019-07-15,2019,0.0,Female,Black,1990.0,26.0,2.0,0.0,2.0,0.0,0.0,0.2585115349790898,2021-01-12,-2,2017,2017-01-01,2018-01-01,0,0,0.0,0.0,1,1,0.0,0.0,1,0
C_1011_1096167.0,1011,1096167.0,control,0,2019-07-15,2019,0.0,Female,Black,1990.0,26.0,2.0,0.0,2.0,0.0,0.0,0.2585115349790898,2021-01-12,-1,2018,2018-01-01,2019-01-01,0,0,0.0,0.0,1,1,0.0,0.0,1,0
C_1011_1096167.0,1011,1096167.0,control,0,2019-07-15,2019,0.0,Female,Black,1990.0,26.0,2.0,0.0,2.0,0.0,0.0,0.2585115349790898,2021-01-12,0,2019,2019-01-01,2020-01-01,1,1,0.0,0.0,1,1,0.0,0.0,1,0
C_1011_1096167.0,1011,1096167.0,control,0,2019-07-15,2019,0.0,Female,Black,1990.0,26.0,2.0,0.0,2.0,0.0,0.0,0.2585115349790898,2021-01-12,1,2020,2020-01-01,2021-01-01,1,1,0.0,0.0,1,1,0.0,0.0,1,0
C_1011_1278609.0,1011,1278609.0,control,0,2019-07-15,2019,0.0,Female,Black,1990.0,25.0,2.0,0.0,2.0,0.0,0.0,0.5170230699581795,2021-01-12,-2,2017,2017-01-01,2018-01-01,0,0,0.0,0.0,1,1,0.0,0.0,1,0
C_1011_1278609.0,1011,1278609.0,control,0,2019-07-15,2019,0.0,Female,Black,1990.0,25.0,2.0,0.0,2.0,0.0,0.0,0.5170230699581795,2021-01-12,-1,2018,2018-01-01,2019-01-01,0,0,0.0,0.0,1,1,0.0,0.0,1,0
C_1011_1278609.0,1011,1278609.0,control,0,2019-07-15,2019,0.0,Female,Black,1990.0,25.0,2.0,0.0,2.0,0.0,0.0,0.5170230699581795,2021-01-12,0,2019,2019-01-01,2020-01-01,1,1,0.0,0.0,1,1,0.0,0.0,1,0
C_1011_1278609.0,1011,1278609.0,control,0,2019-07-15,2019,0.0,Female,Black,1990.0,25.0,2.0,0.0,2.0,0.0,0.0,0.5170230699581795,2021-01-12,1,2020,2020-01-01,2021-01-01,1,1,2866.9916433997,1.0,1,1,0.0,0.0,1,0
C_1011_1380282.0,1011,1380282.0,control,0,2019-07-15,2019,0.0,Female,Black,1990.0,24.0,2.0,0.0,2.0,0.0,0.0,0.7755346049372692,2021-01-12,-2,2017,2017-01-01,2018-01-01,0,0,0.0,0.0,1,1,0.0,0.0,1,0
C_1011_1380282.0,1011,1380282.0,control,0,2019-07-15,2019,0.0,Female,Black,1990.0,24.0,2.0,0.0,2.0,0.0,0.0,0.7755346049372692,2021-01-12,-1,2018,2018-01-01,2019-01-01,0,0,0.0,0.0,1,1,0.0,0.0,1,0
C_1011_1380282.0,1011,1380282.0,control,0,2019-07-15,2019,0.0,Female,Black,1990.0,24.0,2.0,0.0,2.0,0.0,0.0,0.7755346049372692,2021-01-12,0,2019,2019-01-01,2020-01-01,1,1,0.0,0.0,1,1,0.0,0.0,1,0
C_1011_1380282.0,1011,1380282.0,control,0,2019-07-15,2019,0.0,Female,Black,1990.0,24.0,2.0,0.0,2.0,0.0,0.0,0.7755346049372692,2021-01-12,1,2020,2020-01-01,2021-01-01,1,1,0.0,0.0,1,1,0.0,0.0,1,0
C_1011_1615300.0,1011,1615300.0,control,0,2019-07-15,2019,0.0,Female,Black,1990.0,25.0,2.0,0.0,2.0,0.0,0.0,0.5170230699581795,2021-01-12,-2,2017,2017-01-01,2018-01-01,0,0,0.0,0.0,1,1,0.0,0.0,1,0
C_1011_1615300.0,1011,1615300.0,control,0,2019-07-15,2019,0.0,Female,Black,1990.0,25.0,2.0,0.0,2.0,0.0,0.0,0.5170230699581795,2021-01-12,-1,2018,2018-01-01,2019-01-01,0,0,0.0,0.0,1,1,0.0,0.0,1,0
C_1011_1615300.0,1011,1615300.0,control,0,2019-07-15,2019,0.0,Female,Black,1990.0,25.0,2.0,0.0,2.0,0.0,0.0,0.5170230699581795,2021-01-12,0,2019,2019-01-01,2020-01-01,1,1,0.0,0.0,1,1,0.0,0.0,1,0
C_1011_1615300.0,1011,1615300.0,control,0,2019-07-15,2019,0.0,Female,Black,1990.0,25.0,2.0,0.0,2.0,0.0,0.0,0.5170230699581795,2021-01-12,1,2020,2020-01-01,2021-01-01,1,1,0.0,0.0,1,1,0.0,0.0,1,0
C_1011_742326.0,1011,742326.0,control,0,2019-07-15,2019,0.0,Female,Black,1990.0,27.0,2.0,0.0,2.0,0.0,0.0,0.0,2021-01-12,-2,2017,2017-01-01,2018-01-01,0,0,0.0,0.0,0,0,0.0,0.0,1,0
C_1011_742326.0,1011,742326.0,control,0,2019-07-15,2019,0.0,Female,Black,1990.0,27.0,2.0,0.0,2.0,0.0,0.0,0.0,2021-01-12,-1,2018,2018-01-01,2019-01-01,0,0,0.0,0.0,0,1,0.0,0.0,1,0
C_1011_742326.0,1011,742326.0,control,0,2019-07-15,2019,0.0,Female,Black,1990.0,27.0,2.0,0.0,2.0,0.0,0.0,0.0,2021-01-12,0,2019,2019-01-01,2020-01-01,1,1,0.0,0.0,1,1,0.0,0.0,1,0
C_1011_742326.0,1011,742326.0,control,0,2019-07-15,2019,0.0,Female,Black,1990.0,27.0,2.0,0.0,2.0,0.0,0.0,0.0,2021-01-12,1,2020,2020-01-01,2021-01-01,1,1,2866.9916433997,1.0,1,1,0.0,0.0,1,0
C_1012_1280753.0,1012,1280753.0,control,0,2019-06-17,2019,0.0,Male,White,1979.0,22.0,5.0,0.0,5.0,0.0,0.0,0.0,2020-12-15,-2,2017,2017-01-01,2018-01-01,0,0,0.0,0.0,1,1,0.0,0.0,1,0
C_1012_1280753.0,1012,1280753.0,control,0,2019-06-17,2019,0.0,Male,White,1979.0,22.0,5.0,0.0,5.0,0.0,0.0,0.0,2020-12-15,-1,2018,2018-01-01,2019-01-01,0,0,0.0,0.0,1,1,0.0,0.0,1,0
C_1012_1280753.0,1012,1280753.0,control,0,2019-06-17,2019,0.0,Male,White,1979.0,22.0,5.0,0.0,5.0,0.0,0.0,0.0,2020-12-15,0,2019,2019-01-01,2020-01-01,1,1,0.0,0.0,1,1,0.0,0.0,1,0
C_1012_1280753.0,1012,1280753.0,control,0,2019-06-17,2019,0.0,Male,White,1979.0,22.0,5.0,0.0,5.0,0.0,0.0,0.0,2020-12-15,1,2020,2020-01-01,2021-01-01,1,1,0.0,0.0,1,1,0.0,0.0,1,0
C_1012_1308692.0,1012,1308692.0,control,0,2019-06-17,2019,0.0,Male,White,1979.0,22.0,5.0,0.0,5.0,0.0,0.0,0.0,2020-12-15,-2,2017,2017-01-01,2018-01-01,0,0,0.0,0.0,1,1,0.0,0.0,1,0
C_1012_1308692.0,1012,1308692.0,control,0,2019-06-17,2019,0.0,Male,White,1979.0,22.0,5.0,0.0,5.0,0.0,0.0,0.0,2020-12-15,-1,2018,2018-01-01,2019-01-01,0,0,0.0,0.0,1,1,0.0,0.0,1,0
C_1012_1308692.0,1012,1308692.0,control,0,2019-06-17,2019,0.0,Male,White,1979.0,22.0,5.0,0.0,5.0,0.0,0.0,0.0,2020-12-15,0,2019,2019-01-01,2020-01-01,1,1,0.0,0.0,1,1,0.0,0.0,1,0
C_1012_1308692.0,1012,1308692.0,control,0,2019-06-17,2019,0.0,Male,White,1979.0,22.0,5.0,0.0,5.0,0.0,0.0,0.0,2020-12-15,1,2020,2020-01-01,2021-01-01,1,1,17557.79655290871,1.0,1,1,0.0,0.0,1,0
C_1012_1617715.0,1012,1617715.0,control,0,2019-06-17,2019,0.0,Male,White,1979.0,22.0,5.0,0.0,5.0,0.0,0.0,0.0,2020-12-15,-2,2017,2017-01-01,2018-01-01,0,0,0.0,0.0,1,1,0.0,0.0,1,0
C_1012_1617715.0,1012,1617715.0,control,0,2019-06-17,2019,0.0,Male,White,1979.0,22.0,5.0,0.0,5.0,0.0,0.0,0.0,2020-12-15,-1,2018,2018-01-01,2019-01-01,0,0,0.0,0.0,1,1,0.0,0.0,1,0
C_1012_1617715.0,1012,1617715.0,control,0,2019-06-17,2019,0.0,Male,White,1979.0,22.0,5.0,0.0,5.0,0.0,0.0,0.0,2020-12-15,0,2019,2019-01-01,2020-01-01,1,1,0.0,0.0,1,1,0.0,0.0,1,0
C_1012_1617715.0,1012,1617715.0,control,0,2019-06-17,2019,0.0,Male,White,1979.0,22.0,5.0,0.0,5.0,0.0,0.0,0.0,2020-12-15,1,2020,2020-01-01,2021-01-01,1,1,0.0,0.0,1,1,0.0,0.0,1,0
C_1012_1685017.0,1012,1685017.0,control,0,2019-06-17,2019,0.0,Male,White,1979.0,22.0,5.0,0.0,5.0,0.0,0.0,0.0,2020-12-15,-2,2017,2017-01-01,2018-01-01,0,0,0.0,0.0,1,1,0.0,0.0,1,0
C_1012_1685017.0,1012,1685017.0,control,0,2019-06-17,2019,0.0,Male,White,1979.0,22.0,5.0,0.0,5.0,0.0,0.0,0.0,2020-12-15,-1,2018,2018-01-01,2019-01-01,0,0,0.0,0.0,1,1,0.0,0.0,1,0
C_1012_1685017.0,1012,1685017.0,control,0,2019-06-17,2019,0.0,Male,White,1979.0,22.0,5.0,0.0,5.0,0.0,0.0,0.0,2020-12-15,0,2019,2019-01-01,2020-01-01,1,1,0.0,0.0,1,1,0.0,0.0,1,0
C_1012_1685017.0,1012,1685017.0,control,0,2019-06-17,2019,0.0,Male,White,1979.0,22.0,5.0,0.0,5.0,0.0,0.0,0.0,2020-12-15,1,2020,2020-01-01,2021-01-01,1,1,0.0,0.0,1,1,0.0,0.0,1,0
C_1012_1766756.0,1012,1766756.0,control,0,2019-06-17,2019,0.0,Male,White,1979.0,22.0,5.0,0.0,5.0,0.0,0.0,0.0,2020-12-15,-2,2017,2017-01-01,2018-01-01,0,0,0.0,0.0,1,1,0.0,0.0,1,0
C_1012_1766756.0,1012,1766756.0,control,0,2019-06-17,2019,0.0,Male,White,1979.0,22.0,5.0,0.0,5.0,0.0,0.0,0.0,2020-12-15,-1,2018,2018-01-01,2019-01-01,0,0,0.0,0.0,1,1,0.0,0.0,1,0
C_1012_1766756.0,1012,1766756.0,control,0,2019-06-17,2019,0.0,Male,White,1979.0,22.0,5.0,0.0,5.0,0.0,0.0,0.0,2020-12-15,0,2019,2019-01-01,2020-01-01,1,1,3049.190081486843,1.0,1,1,0.0,0.0,1,0
C_1012_1766756.0,1012,1766756.0,control,0,2019-06-17,2019,0.0,Male,White,1979.0,22.0,5.0,0.0,5.0,0.0,0.0,0.0,2020-12-15,1,2020,2020-01-01,2021-01-01,1,1,6998.217581508566,1.0,1,1,0.0,0.0,1,0
C_1020_284876.0,1020,284876.0,control,0,2019-07-01,2019,0.0,Male,Black,1986.0,32.0,1.0,0.0,1.0,0.0,0.0,0.0,2020-12-29,-2,2017,2017-01-01,2018-01-01,0,0,0.0,0.0,0,0,0.0,0.0,1,0
C_1020_284876.0,1020,284876.0,control,0,2019-07-01,2019,0.0,Male,Black,1986.0,32.0,1.0,0.0,1.0,0.0,0.0,0.0,2020-12-29,-1,2018,2018-01-01,2019-01-01,0,0,0.0,0.0,0,1,0.0,0.0,1,0
