,PCS_OFF_ID,tip_id,matched_tip_id
0,1696115.0,,1
1,1060886.0,,1
2,1501252.0,,1
3,1488684.0,,1
4,1045147.0,,4
5,1878710.0,,4
6,1597163.0,,4
7,1551261.0,,4
8,1601886.0,,5
9,820753.0,,5
10,444983.0,,5
11,1684965.0,,5
12,329368.0,,6
13,400178.0,,6
14,1394862.0,,6
15,905755.0,,6
16,1118249.0,,7
17,1461949.0,,7
18,1784720.0,,9
19,1479167.0,,9
20,1611585.0,,9
21,1826052.0,,9
22,1092499.0,,11
23,1876301.0,,11
24,1020306.0,,11
25,856904.0,,11
26,1647629.0,,12
27,1433321.0,,12
28,1893793.0,,12
29,1258024.0,,12
30,344364.0,,14
31,1340210.0,,14
32,863836.0,,14
33,419659.0,,14
34,263243.0,,15
35,234257.0,,15
36,833850.0,,15
37,1571124.0,,15
38,1662444.0,,18
39,1900950.0,,18
40,1431363.0,,19
41,1414430.0,,19
42,1775798.0,,19
43,1208448.0,,21
44,941745.0,,23
45,789973.0,,23
46,524129.0,,23
47,713721.0,,23
48,1378373.0,,24
49,1889811.0,,24
50,1332516.0,,27
51,1365128.0,,27
52,1436929.0,,27
53,1009900.0,,27
54,902642.0,,28
55,1908763.0,,28
56,844003.0,,28
57,689731.0,,28
58,1749852.0,,29
59,1902712.0,,29
60,1203466.0,,29
61,1185945.0,,29
62,1513741.0,,30
63,1500899.0,,30
64,1377826.0,,30
65,1891203.0,,30
66,1665993.0,,31
67,467853.0,,31
68,447952.0,,31
69,1660733.0,,31
70,1408997.0,,32
71,1299368.0,,32
72,1567369.0,,32
73,1002170.0,,32
74,306308.0,,33
75,697901.0,,33
76,306054.0,,33
77,426479.0,,33
78,293743.0,,34
79,214600.0,,34
80,253306.0,,34
81,893706.0,,34
82,1834898.0,,36
83,1829737.0,,36
84,233384.0,,36
85,1403640.0,,36
86,1248812.0,,37
87,1464270.0,,37
88,1803288.0,,37
89,1864891.0,,37
90,684706.0,,38
91,1177469.0,,39
92,1606556.0,,39
93,1025096.0,,39
94,1866097.0,,39
95,220373.0,,40
96,1160890.0,,40
97,1783167.0,,40
98,1654494.0,,40
99,179089.0,,41
100,1018064.0,,43
101,1665062.0,,43
102,1700653.0,,43
103,275612.0,,43
104,124400.0,,44
105,222343.0,,44
106,327115.0,,44
107,1692913.0,,44
108,1025058.0,,46
109,1060216.0,,46
110,1326216.0,,46
111,1284011.0,,46
112,1080450.0,,48
113,1802316.0,,48
114,1877988.0,,48
115,1626071.0,,48
116,1659237.0,,49
117,457125.0,,49
118,859476.0,,49
119,434097.0,,49
120,1765124.0,,50
121,908152.0,,50
122,1207083.0,,50
123,1832622.0,,50
124,1115247.0,,51
125,1207709.0,,51
126,671433.0,,51
127,1557902.0,,51
128,1306529.0,,52
129,1287599.0,,53
130,1321229.0,,53
131,1411936.0,,53
132,1794220.0,,53
133,871606.0,,57
134,424247.0,,57
135,482282.0,,57
136,873713.0,,57
137,879849.0,,59
138,827799.0,,59
139,898413.0,,59
140,844682.0,,60
141,1742443.0,,60
142,1679231.0,,60
143,761687.0,,60
144,1072558.0,,62
145,1538384.0,,62
146,1404252.0,,62
147,157353.0,,62
148,1068527.0,,63
149,166334.0,,63
150,1616479.0,,63
151,1749456.0,,63
152,1557304.0,,64
153,1377449.0,,64
154,1632618.0,,64
155,1660460.0,,64
156,1013335.0,,65
157,1622840.0,,65
158,1597813.0,,66
159,418044.0,,66
160,1549569.0,,66
161,1075226.0,,66
162,1515423.0,,67
163,225303.0,,67
164,1798358.0,,67
165,1236845.0,,67
166,1186822.0,,68
167,478776.0,,69
168,158251.0,,69
169,139996.0,,69
170,1325180.0,,69
171,1292057.0,,70
172,1840242.0,,70
173,1062770.0,,70
174,1501090.0,,70
175,263897.0,,71
176,732972.0,,71
177,298238.0,,71
178,918403.0,,71
179,1153870.0,,72
180,1312284.0,,72
181,314673.0,,72
182,876451.0,,72
183,1411463.0,,73
184,673083.0,,73
185,784271.0,,73
186,1467292.0,,73
187,771937.0,,76
188,841243.0,,76
189,710896.0,,76
190,453264.0,,76
191,398330.0,,77
192,1372196.0,,79
193,1510356.0,,79
194,823814.0,,79
195,1396399.0,,79
196,1067582.0,,80
197,1788951.0,,81
198,1251421.0,,81
199,1515693.0,,81
200,1494612.0,,81
201,1051627.0,,82
202,1203952.0,,82
203,310085.0,,82
204,1613749.0,,82
205,1461053.0,,83
206,804870.0,,83
207,1789295.0,,83
208,1873143.0,,83
209,209546.0,,85
210,725556.0,,85
211,858003.0,,86
212,1398829.0,,86
213,1778144.0,,86
214,1766643.0,,86
215,1356726.0,,88
216,271033.0,,89
217,174231.0,,89
218,308305.0,,89
219,330828.0,,89
220,862633.0,,90
221,304799.0,,90
222,446278.0,,90
223,445629.0,,90
224,1089179.0,,91
225,1642517.0,,91
226,768633.0,,91
227,1079397.0,,91
228,1893792.0,,92
229,365090.0,,92
230,1527262.0,,92
231,368582.0,,92
232,681224.0,,93
233,1721052.0,,93
234,664443.0,,93
235,427520.0,,93
236,1909257.0,,95
237,1165230.0,,95
238,1339681.0,,95
239,1732248.0,,95
240,1756924.0,,97
241,1911109.0,,97
242,1588839.0,,97
243,1636817.0,,97
244,1017505.0,,98
245,1647630.0,,98
246,1810390.0,,98
247,1122271.0,,98
248,1908779.0,,99
249,,1478.0,99
250,496808.0,,99
251,1735031.0,,99
252,316013.0,,100
253,681312.0,,100
254,425348.0,,100
255,949186.0,,100
256,367230.0,,101
257,286393.0,,101
258,697904.0,,101
259,288703.0,,101
260,1209516.0,,102
261,382200.0,,102
262,822672.0,,102
263,1540373.0,,102
264,1371668.0,,104
265,1828418.0,,104
266,253091.0,,104
267,1886696.0,,104
268,69532.0,,105
269,1557467.0,,105
270,1875767.0,,105
271,113302.0,,105
272,1290005.0,,108
273,1098181.0,,108
274,1806252.0,,108
275,863184.0,,108
276,1523411.0,,109
277,147225.0,,111
278,1385935.0,,111
279,890489.0,,111
280,1903687.0,,111
281,293200.0,,112
282,1675855.0,,112
283,240164.0,,112
284,730175.0,,112
285,50263.0,,115
286,74083.0,,115
287,1503636.0,,115
288,1035310.0,,115
289,698804.0,,117
290,292406.0,,117
291,386237.0,,117
292,487394.0,,117
293,1757583.0,,118
294,1163194.0,,118
295,597344.0,,118
296,1886126.0,,118
297,1409389.0,,119
298,922370.0,,119
299,956565.0,,119
300,1285963.0,,119
301,1158655.0,,120
302,890750.0,,120
303,847697.0,,120
304,873940.0,,120
305,850503.0,,121
306,1641174.0,,121
307,863897.0,,121
308,685786.0,,121
309,1342461.0,,122
310,923397.0,,123
311,680867.0,,123
312,487779.0,,123
313,1648174.0,,123
314,333247.0,,125
315,173025.0,,125
316,910925.0,,125
317,1067581.0,,125
318,1814772.0,,126
319,1165952.0,,126
320,1747685.0,,126
321,1774882.0,,126
322,1009169.0,,127
323,1761070.0,,127
324,1496713.0,,127
325,1866562.0,,127
326,1273517.0,,129
327,1456495.0,,129
328,1346657.0,,129
329,1682973.0,,129
330,1172795.0,,130
331,1111091.0,,130
332,1219032.0,,130
333,1583302.0,,130
334,887424.0,,131
335,1618960.0,,131
336,936715.0,,131
337,860674.0,,131
338,773337.0,,132
339,1671408.0,,133
340,319081.0,,133
341,1646040.0,,133
342,1705518.0,,133
343,1306089.0,,134
344,1210690.0,,134
345,1227158.0,,134
346,844473.0,,134
347,1363672.0,,135
348,1555699.0,,135
349,692016.0,,135
350,1891456.0,,135
351,331169.0,,136
352,1304470.0,,136
353,1102363.0,,136
354,1112536.0,,136
355,923725.0,,137
356,1255671.0,,137
357,179102.0,,137
358,1497125.0,,137
359,1429746.0,,138
360,386240.0,,138
361,388445.0,,138
362,1371555.0,,138
363,369479.0,,140
364,1136355.0,,140
365,1322021.0,,140
366,1734017.0,,140
367,1188451.0,,141
368,1165669.0,,141
369,941642.0,,143
370,1179136.0,,143
371,835304.0,,143
372,1843490.0,,143
373,1336698.0,,144
374,1405035.0,,144
375,1409361.0,,144
376,1590625.0,,144
377,853065.0,,145
378,1838505.0,,145
379,1061019.0,,145
380,900092.0,,145
381,1703344.0,,147
382,1539929.0,,147
383,1890255.0,,147
384,1169919.0,,147
385,924087.0,,148
386,353013.0,,148
387,226318.0,,148
388,361482.0,,148
389,470036.0,,149
390,394726.0,,149
391,906698.0,,149
392,922594.0,,149
393,1004481.0,,150
394,1149809.0,,150
395,836884.0,,150
396,197242.0,,150
397,217843.0,,153
398,1412626.0,,153
399,847576.0,,153
400,1775521.0,,153
401,1329239.0,,154
402,1372985.0,,154
403,1173991.0,,154
404,1604793.0,,154
405,268657.0,,155
406,1518901.0,,155
407,258490.0,,155
408,1887503.0,,155
409,452104.0,,156
410,831468.0,,156
411,737624.0,,156
412,216721.0,,156
413,300728.0,,157
414,863813.0,,157
415,876332.0,,157
416,220666.0,,157
417,1071343.0,,159
418,372114.0,,159
419,1422128.0,,159
420,1706099.0,,159
421,396401.0,,162
422,494547.0,,162
423,1456279.0,,162
424,451307.0,,162
425,789979.0,,163
426,572900.0,,163
427,869983.0,,163
428,148574.0,,164
429,1275408.0,,164
430,131531.0,,164
431,1833005.0,,164
432,1149576.0,,165
433,1078260.0,,165
434,1652403.0,,165
435,1884616.0,,165
436,439023.0,,166
437,1564562.0,,166
438,1345414.0,,166
439,847572.0,,166
440,475320.0,,170
441,1348084.0,,170
442,856916.0,,170
443,1213425.0,,170
444,878997.0,,171
445,1530445.0,,171
446,858867.0,,171
447,365724.0,,171
448,953814.0,,172
449,937365.0,,172
450,757977.0,,172
451,919465.0,,172
452,1502186.0,,173
453,844587.0,,173
454,1530654.0,,173
455,1536420.0,,173
456,1295559.0,,174
457,1747737.0,,174
458,898186.0,,174
459,1753231.0,,174
460,1602485.0,,175
461,1537732.0,,175
462,1804854.0,,178
463,1414766.0,,178
464,1440924.0,,178
465,1913095.0,,178
466,384654.0,,179
467,919959.0,,179
468,1264141.0,,179
469,357206.0,,179
470,1913397.0,,183
471,1834934.0,,183
472,1791618.0,,183
473,1818350.0,,183
474,881749.0,,184
475,1614107.0,,184
476,338224.0,,184
477,356638.0,,184
478,452448.0,,186
479,737746.0,,186
480,457901.0,,186
481,1647394.0,,186
482,1780049.0,,187
483,1725515.0,,187
484,300962.0,,187
485,917616.0,,187
486,1516360.0,,191
487,1090932.0,,191
488,1340768.0,,191
489,1167498.0,,191
490,1750563.0,,195
491,1242418.0,,202
492,1821815.0,,202
493,1659608.0,,202
494,1137452.0,,202
495,1679698.0,,205
496,454334.0,,205
497,913900.0,,205
498,1724409.0,,205
499,272279.0,,209
500,931898.0,,209
501,163716.0,,209
502,1882238.0,,209
503,730896.0,,212
504,1573257.0,,212
505,1288383.0,,212
506,259047.0,,212
507,1598998.0,,213
508,1731577.0,,213
509,1762642.0,,213
510,1021834.0,,213
511,340385.0,,216
512,428907.0,,216
513,1032770.0,,216
514,659691.0,,216
515,670438.0,,217
516,478328.0,,217
517,674212.0,,217
518,1587104.0,,217
519,199278.0,,222
520,1541195.0,,222
521,1022867.0,,222
522,212491.0,,222
523,1084109.0,,223
524,1577583.0,,223
525,216638.0,,223
526,1579578.0,,223
527,940530.0,,226
528,154424.0,,226
529,210719.0,,226
530,844617.0,,226
531,881180.0,,229
532,1399649.0,,229
533,1819953.0,,229
534,927285.0,,229
535,1717358.0,,231
536,1685208.0,,231
537,928990.0,,231
538,1664456.0,,231
539,1177382.0,,234
540,1301772.0,,234
541,1320823.0,,234
542,1780351.0,,234
543,1702462.0,,236
544,366234.0,,236
545,797593.0,,236
546,410461.0,,236
547,1079326.0,,237
548,239592.0,,237
549,1374360.0,,237
550,1440308.0,,237
551,723579.0,,238
552,1207447.0,,240
553,1687328.0,,240
554,120627.0,,240
555,1042833.0,,240
556,884522.0,,242
557,211927.0,,242
558,1308557.0,,242
559,474080.0,,242
560,1583906.0,,244
561,1131818.0,,244
562,1340123.0,,245
563,1226578.0,,245
564,1178774.0,,245
565,1858698.0,,245
566,880821.0,,246
567,1689175.0,,247
568,1211889.0,,247
569,1181618.0,,247
570,1309550.0,,247
571,917730.0,,250
572,1376863.0,,250
573,931095.0,,250
574,1346735.0,,250
575,1536204.0,,256
576,1373800.0,,256
577,1700947.0,,256
578,1068158.0,,256
579,1508764.0,,259
580,1512967.0,,260
581,1503286.0,,260
582,1430050.0,,260
583,1058275.0,,260
584,1908909.0,,261
585,1790768.0,,261
586,1692270.0,,261
587,1171909.0,,261
588,1311181.0,,262
589,1416746.0,,271
590,404242.0,,271
591,356749.0,,271
592,1061284.0,,271
593,1856486.0,,274
594,678684.0,,274
595,1488701.0,,274
596,1909656.0,,274
597,1795120.0,,275
598,1902893.0,,275
599,1307497.0,,275
600,1763690.0,,275
601,175617.0,,278
602,259565.0,,278
603,1826067.0,,278
604,1582381.0,,278
605,1112728.0,,285
606,315867.0,,285
607,1350110.0,,285
608,1244605.0,,285
609,235943.0,,286
610,375015.0,,286
611,807723.0,,286
612,1713367.0,,286
613,724650.0,,288
614,447635.0,,288
615,861993.0,,288
616,805447.0,,288
617,1180922.0,,289
618,1778989.0,,291
619,1041009.0,,291
620,1523378.0,,291
621,1760698.0,,291
622,1037678.0,,295
623,860769.0,,295
624,1290645.0,,295
625,1448930.0,,295
626,857848.0,,297
627,1622952.0,,297
628,689536.0,,298
629,840105.0,,298
630,889443.0,,298
631,793929.0,,298
632,882689.0,,299
633,505958.0,,299
634,850441.0,,299
635,781343.0,,299
636,440268.0,,303
637,1514809.0,,303
638,940063.0,,303
639,439566.0,,304
640,1451902.0,,304
641,202156.0,,304
642,1062449.0,,304
643,1295631.0,,307
644,1360549.0,,307
645,1252447.0,,307
646,1768621.0,,307
647,1038977.0,,313
648,1146883.0,,313
649,1645171.0,,313
650,850581.0,,313
651,1124205.0,,314
652,1082441.0,,314
653,1549449.0,,314
654,1736408.0,,314
655,311707.0,,316
656,1850838.0,,316
657,1209126.0,,316
658,711406.0,,316
659,1296878.0,,319
660,1442307.0,,319
661,1577499.0,,319
662,1803529.0,,319
663,1342638.0,,320
664,1284663.0,,320
665,1812218.0,,320
666,1788453.0,,320
667,1890506.0,,321
668,1372574.0,,322
669,1105457.0,,322
670,1042631.0,,322
671,1133889.0,,322
672,1910280.0,,324
673,1219212.0,,324
674,1673998.0,,324
675,1661715.0,,324
676,1529245.0,,325
677,938824.0,,325
678,1541095.0,,325
679,1608128.0,,325
680,604227.0,,326
681,1335139.0,,326
682,422995.0,,326
683,1038721.0,,326
684,421413.0,,327
685,250554.0,,327
686,1517955.0,,327
687,329690.0,,327
688,400298.0,,328
689,405641.0,,328
690,814930.0,,328
691,830827.0,,328
692,1393246.0,,329
693,1713729.0,,329
694,1651743.0,,329
695,1491702.0,,329
696,1633092.0,,330
697,1882107.0,,330
698,890355.0,,332
699,1403100.0,,332
700,1190205.0,,332
701,1169760.0,,332
702,1175516.0,,333
703,873369.0,,333
704,1802765.0,,333
705,1459841.0,,333
706,1525556.0,,334
707,821075.0,,334
708,921425.0,,334
709,1245576.0,,334
710,1293775.0,,339
711,1162198.0,,339
712,1079430.0,,339
713,863379.0,,339
714,1799930.0,,340
715,1449190.0,,340
716,1746946.0,,340
717,1441100.0,,340
718,1568414.0,,343
719,1052897.0,,343
720,1545474.0,,343
