tip_id,year,unit_id,pcs_off_id,unit_type,treatment,StartDate,start_year,cohort_2022,gender,race,year_of_birth,age_of_first_offense,num_sentences_before_start,any_high_ogs_before_start,num_offenses_before_start,earnings_2yr_preTIP,job_right_before_tip,psm_distance,upper_date,year_offset,year_start_date,year_end_date,in_post_1p5_window,post,earnings_year,employed_year,has_prior_offense_by_year,has_offense_by_year,offense_count_year,has_offense_year,has_prior_offense_before_start,recidivism_year,treatment_post,treatment_post_cohort,log_earnings_year
10,2010,C_10_1021892.0,1021892,control,0,2010/7/9,2010,0,Male,Black,1989,18,2,1,2,0,0,0.380004792,2012/1/7,0,2010/1/1,2011/1/1,1,1,0,0,1,1,0,0,1,0,0,0,0
10,2010,P_10,,participant,1,2010/7/9,2010,0,Male,Black,1989,18,2,1,1,0,0,0,2012/1/7,0,2010/1/1,2011/1/1,1,1,0,0,1,1,0,0,1,0,1,0,0
10,2011,C_10_1021892.0,1021892,control,0,2010/7/9,2010,0,Male,Black,1989,18,2,1,2,0,0,0.380004792,2012/1/7,1,2011/1/1,2012/1/1,1,1,0,0,1,1,0,0,1,0,0,0,0
10,2011,P_10,,participant,1,2010/7/9,2010,0,Male,Black,1989,18,2,1,1,0,0,0,2012/1/7,1,2011/1/1,2012/1/1,1,1,0,0,1,1,0,0,1,0,1,0,0
12,2011,C_12_1365128.0,1365128,control,0,2013/2/27,2013,0,Male,Black,1987,23,2,1,2,0,0,1.036301853,2014/8/28,-2,2011/1/1,2012/1/1,0,0,0,0,1,1,0,0,1,0,0,0,0
12,2011,P_12,,participant,1,2013/2/27,2013,0,Male,Black,1987,23,3,1,1,0,0,0,2014/8/28,-2,2011/1/1,2012/1/1,0,0,0,0,1,1,0,0,1,0,0,0,0
12,2012,C_12_1365128.0,1365128,control,0,2013/2/27,2013,0,Male,Black,1987,23,2,1,2,0,0,1.036301853,2014/8/28,-1,2012/1/1,2013/1/1,0,0,0,0,1,1,0,0,1,0,0,0,0
12,2012,P_12,,participant,1,2013/2/27,2013,0,Male,Black,1987,23,3,1,1,0,0,0,2014/8/28,-1,2012/1/1,2013/1/1,0,0,0,0,1,1,0,0,1,0,0,0,0
12,2013,C_12_1365128.0,1365128,control,0,2013/2/27,2013,0,Male,Black,1987,23,2,1,2,0,0,1.036301853,2014/8/28,0,2013/1/1,2014/1/1,1,1,0,0,1,1,0,0,1,0,0,0,0
12,2013,P_12,,participant,1,2013/2/27,2013,0,Male,Black,1987,23,3,1,1,0,0,0,2014/8/28,0,2013/1/1,2014/1/1,1,1,0,0,1,1,0,0,1,0,1,0,0
12,2014,C_12_1365128.0,1365128,control,0,2013/2/27,2013,0,Male,Black,1987,23,2,1,2,0,0,1.036301853,2014/8/28,1,2014/1/1,2015/1/1,1,1,0,0,1,1,0,0,1,0,0,0,0
12,2014,P_12,,participant,1,2013/2/27,2013,0,Male,Black,1987,23,3,1,1,0,0,0,2014/8/28,1,2014/1/1,2015/1/1,1,1,0,0,1,1,0,0,1,0,1,0,0
16,2010,C_16_1619463.0,1619463,control,0,2012/6/26,2012,0,Male,Black,1989,20,2,1,3,0,0,0.676697687,2013/12/25,-2,2010/1/1,2011/1/1,0,0,0,0,0,1,0,0,1,0,0,0,0
16,2010,P_16,,participant,1,2012/6/26,2012,0,Male,Black,1989,20,2,1,6,0,0,0,2013/12/25,-2,2010/1/1,2011/1/1,0,0,0,0,1,1,0,0,1,0,0,0,0
16,2011,C_16_1619463.0,1619463,control,0,2012/6/26,2012,0,Male,Black,1989,20,2,1,3,0,0,0.676697687,2013/12/25,-1,2011/1/1,2012/1/1,0,0,0,0,1,1,0,0,1,0,0,0,0
16,2011,P_16,,participant,1,2012/6/26,2012,0,Male,Black,1989,20,2,1,6,0,0,0,2013/12/25,-1,2011/1/1,2012/1/1,0,0,0,0,1,1,0,0,1,0,0,0,0
16,2012,C_16_1619463.0,1619463,control,0,2012/6/26,2012,0,Male,Black,1989,20,2,1,3,0,0,0.676697687,2013/12/25,0,2012/1/1,2013/1/1,1,1,0,0,1,1,0,0,1,0,0,0,0
16,2012,P_16,,participant,1,2012/6/26,2012,0,Male,Black,1989,20,2,1,6,0,0,0,2013/12/25,0,2012/1/1,2013/1/1,1,1,0,0,1,1,0,0,1,0,1,0,0
16,2013,C_16_1619463.0,1619463,control,0,2012/6/26,2012,0,Male,Black,1989,20,2,1,3,0,0,0.676697687,2013/12/25,1,2013/1/1,2014/1/1,1,1,0,0,1,1,0,0,1,0,0,0,0
16,2013,P_16,,participant,1,2012/6/26,2012,0,Male,Black,1989,20,2,1,6,0,0,0,2013/12/25,1,2013/1/1,2014/1/1,1,1,0,0,1,1,1,1,1,1,1,0,0
17,2012,C_17_1059572.0,1059572,control,0,2014/4/10,2014,0,Male,Black,1971,42,0,0,1,0,0,0,2015/10/9,-2,2012/1/1,2013/1/1,0,0,0,0,0,0,0,0,1,0,0,0,0
17,2012,P_17,,participant,1,2014/4/10,2014,0,Male,Black,1971,42,0,0,1,0,0,0,2015/10/9,-2,2012/1/1,2013/1/1,0,0,0,0,0,0,0,0,1,0,0,0,0
17,2013,C_17_1059572.0,1059572,control,0,2014/4/10,2014,0,Male,Black,1971,42,0,0,1,0,0,0,2015/10/9,-1,2013/1/1,2014/1/1,0,0,0,0,0,1,0,0,1,0,0,0,0
17,2013,P_17,,participant,1,2014/4/10,2014,0,Male,Black,1971,42,0,0,1,0,0,0,2015/10/9,-1,2013/1/1,2014/1/1,0,0,0,0,0,0,0,0,1,0,0,0,0
17,2014,C_17_1059572.0,1059572,control,0,2014/4/10,2014,0,Male,Black,1971,42,0,0,1,0,0,0,2015/10/9,0,2014/1/1,2015/1/1,1,1,0,0,1,1,0,0,1,0,0,0,0
17,2014,P_17,,participant,1,2014/4/10,2014,0,Male,Black,1971,42,0,0,1,0,0,0,2015/10/9,0,2014/1/1,2015/1/1,1,1,0,0,0,1,0,0,1,0,1,0,0
17,2015,C_17_1059572.0,1059572,control,0,2014/4/10,2014,0,Male,Black,1971,42,0,0,1,0,0,0,2015/10/9,1,2015/1/1,2016/1/1,1,1,0,0,1,1,0,0,1,0,0,0,0
