tip_id,year,treatment,end_year,StartDate,EndDate,Status,age_band,cohort_2022,race,gender,census_tract,participated_tip,graduated_tip,employed_full_year,employed_partial_year,earnings_full_year,offense_count_year,offended_year,has_offense_by_year,has_offense_prior_to_year
1434,2020,0,2021,2021-10-18,2021-12-02 00:00:00+00:00,Non Graduated,<=24,0.0,Unknown,Unknown,Unknown,0,0,1,1,33256.8579223072,0,0,0,0
1434,2021,0,2021,2021-10-18,2021-12-02 00:00:00+00:00,Non Graduated,<=24,0.0,Unknown,Unknown,Unknown,1,0,1,1,31355.344738261236,0,0,0,0
1434,2022,0,2021,2021-10-18,2021-12-02 00:00:00+00:00,Non Graduated,<=24,0.0,Unknown,Unknown,Unknown,1,0,1,1,30612.64474944104,0,0,0,0
1434,2023,0,2021,2021-10-18,2021-12-02 00:00:00+00:00,Non Graduated,<=24,0.0,Unknown,Unknown,Unknown,1,0,1,1,40268.35664501552,0,0,0,0
1434,2024,0,2021,2021-10-18,2021-12-02 00:00:00+00:00,Non Graduated,<=24,0.0,Unknown,Unknown,Unknown,1,0,0,1,8136.314780425957,0,0,0,0
996,2017,1,2019,2019-07-15,2019-09-27 00:00:00+00:00,Graduated,<=24,0.0,Unknown,Unknown,Unknown,0,0,1,1,27325.761951472818,0,0,0,0
996,2018,1,2019,2019-07-15,2019-09-27 00:00:00+00:00,Graduated,<=24,0.0,Unknown,Unknown,Unknown,0,0,1,1,28592.59263851664,0,0,0,0
996,2019,1,2019,2019-07-15,2019-09-27 00:00:00+00:00,Graduated,<=24,0.0,Unknown,Unknown,Unknown,1,1,1,1,42720.18882059363,0,0,0,0
996,2020,1,2019,2019-07-15,2019-09-27 00:00:00+00:00,Graduated,<=24,0.0,Unknown,Unknown,Unknown,1,1,1,1,38887.97488048935,0,0,0,0
996,2021,1,2019,2019-07-15,2019-09-27 00:00:00+00:00,Graduated,<=24,0.0,Unknown,Unknown,Unknown,1,1,0,1,16242.733009847181,0,0,0,0
996,2022,1,2019,2019-07-15,2019-09-27 00:00:00+00:00,Graduated,<=24,0.0,Unknown,Unknown,Unknown,1,1,1,1,45277.649312701404,0,0,0,0
996,2023,1,2019,2019-07-15,2019-09-27 00:00:00+00:00,Graduated,<=24,0.0,Unknown,Unknown,Unknown,1,1,1,1,24788.41755826309,0,0,0,0
996,2024,1,2019,2019-07-15,2019-09-27 00:00:00+00:00,Graduated,<=24,0.0,Unknown,Unknown,Unknown,1,1,0,1,4590.597694788952,0,0,0,0
861,2017,0,2018,2018-10-22,2018-11-16 00:00:00+00:00,Non Graduated,25-34,0.0,Unknown,Unknown,Unknown,0,0,1,1,11397.589601340584,0,0,0,0
861,2018,0,2018,2018-10-22,2018-11-16 00:00:00+00:00,Non Graduated,25-34,0.0,Unknown,Unknown,Unknown,1,0,0,1,632.0286745769862,0,0,0,0
861,2019,0,2018,2018-10-22,2018-11-16 00:00:00+00:00,Non Graduated,25-34,0.0,Unknown,Unknown,Unknown,1,0,0,1,14193.054668673401,0,0,0,0
861,2020,0,2018,2018-10-22,2018-11-16 00:00:00+00:00,Non Graduated,25-34,0.0,Unknown,Unknown,Unknown,1,0,0,1,8565.691369496273,2,1,1,0
861,2021,0,2018,2018-10-22,2018-11-16 00:00:00+00:00,Non Graduated,25-34,0.0,Unknown,Unknown,Unknown,1,0,0,1,20432.42632547511,0,0,1,1
861,2022,0,2018,2018-10-22,2018-11-16 00:00:00+00:00,Non Graduated,25-34,0.0,Unknown,Unknown,Unknown,1,0,0,1,20642.879784424968,0,0,1,1
861,2023,0,2018,2018-10-22,2018-11-16 00:00:00+00:00,Non Graduated,25-34,0.0,Unknown,Unknown,Unknown,1,0,0,1,15579.936798290626,0,0,1,1
861,2024,0,2018,2018-10-22,2018-11-16 00:00:00+00:00,Non Graduated,25-34,0.0,Unknown,Unknown,Unknown,1,0,0,1,14677.112602897114,0,0,1,1
938,2017,1,2019,2019-03-04,2019-04-05 00:00:00+00:00,Graduated,25-34,0.0,Unknown,Unknown,Unknown,0,0,1,1,22824.798063023925,0,0,0,0
938,2018,1,2019,2019-03-04,2019-04-05 00:00:00+00:00,Graduated,25-34,0.0,Unknown,Unknown,Unknown,0,0,0,1,6100.16751005729,2,1,1,0
938,2019,1,2019,2019-03-04,2019-04-05 00:00:00+00:00,Graduated,25-34,0.0,Unknown,Unknown,Unknown,1,1,0,1,2795.5873876804144,1,1,1,1
938,2020,1,2019,2019-03-04,2019-04-05 00:00:00+00:00,Graduated,25-34,0.0,Unknown,Unknown,Unknown,1,1,0,1,2039.8332656484506,0,0,1,1
938,2021,1,2019,2019-03-04,2019-04-05 00:00:00+00:00,Graduated,25-34,0.0,Unknown,Unknown,Unknown,1,1,1,1,7277.904736103523,0,0,1,1
938,2022,1,2019,2019-03-04,2019-04-05 00:00:00+00:00,Graduated,25-34,0.0,Unknown,Unknown,Unknown,1,1,0,1,2497.784605810588,1,1,1,1
938,2023,1,2019,2019-03-04,2019-04-05 00:00:00+00:00,Graduated,25-34,0.0,Unknown,Unknown,Unknown,1,1,1,1,13792.0570776832,0,0,1,1
938,2024,1,2019,2019-03-04,2019-04-05 00:00:00+00:00,Graduated,25-34,0.0,Unknown,Unknown,Unknown,1,1,0,1,5170.984497240057,1,1,1,1
910,2017,0,2019,2019-01-30,2019-02-13 00:00:00+00:00,Non Graduated,25-34,0.0,Unknown,Unknown,Unknown,0,0,1,1,75959.96540198881,0,0,0,0
910,2018,0,2019,2019-01-30,2019-02-13 00:00:00+00:00,Non Graduated,25-34,0.0,Unknown,Unknown,Unknown,0,0,1,1,51839.5827847553,0,0,0,0
910,2019,0,2019,2019-01-30,2019-02-13 00:00:00+00:00,Non Graduated,25-34,0.0,Unknown,Unknown,Unknown,1,0,1,1,7826.964273119756,0,0,0,0
910,2020,0,2019,2019-01-30,2019-02-13 00:00:00+00:00,Non Graduated,25-34,0.0,Unknown,Unknown,Unknown,1,0,0,0,0.0,0,0,0,0
910,2021,0,2019,2019-01-30,2019-02-13 00:00:00+00:00,Non Graduated,25-34,0.0,Unknown,Unknown,Unknown,1,0,0,0,0.0,0,0,0,0
910,2022,0,2019,2019-01-30,2019-02-13 00:00:00+00:00,Non Graduated,25-34,0.0,Unknown,Unknown,Unknown,1,0,0,0,0.0,0,0,0,0
910,2023,0,2019,2019-01-30,2019-02-13 00:00:00+00:00,Non Graduated,25-34,0.0,Unknown,Unknown,Unknown,1,0,0,0,0.0,0,0,0,0
910,2024,0,2019,2019-01-30,2019-02-13 00:00:00+00:00,Non Graduated,25-34,0.0,Unknown,Unknown,Unknown,1,0,0,0,0.0,0,0,0,0
1140,2017,1,2020,2020-01-20,2020-04-03 00:00:00+00:00,Graduated,25-34,0.0,Unknown,Unknown,Unknown,0,0,1,1,18794.07662960673,0,0,1,1
