tip_id,year_of_birth,year_of_death,census_tract,gender,race
632.0,1997.0,,42003523100,Male,Black
719.0,1993.0,,42003130800,Male,Black
302.0,1994.0,,42003561400,Male,Black
1374.0,2002.0,,42003051000,Male,Black
2032.0,2005.0,,42003130800,Male,Black
1483.0,2000.0,,42003560400,Male,Black
1731.0,2002.0,,42003481000,Male,Black
1019.0,1999.0,,42003562400,Male,Black
1416.0,2002.0,,42003561900,Female,Black
2122.0,1997.0,,42003561400,Male,Black
928.0,1983.0,,42003271600,Male,Black
636.0,1990.0,,42003020100,Male,Black
1862.0,1990.0,,42003040900,Male,Black
1065.0,1995.0,,42003552300,Male,Black
2154.0,1994.0,,42003523501,Male,Black
1781.0,2004.0,,42003290200,Female,White
1000.0,1999.0,,42003271600,Male,White
443.0,1996.0,,42003130800,Male,Black
1962.0,1991.0,,42003523100,Male,Black
748.0,1978.0,,42003515100,Male,Black
2178.0,1973.0,,42129800900,Male,Black
59.0,1989.0,,42051260800,Male,White
988.0,1995.0,,42003130200,Male,Black
709.0,1977.0,,42003561500,Male,Black
1997.0,2002.0,,42003523100,Female,Black
229.0,1990.0,,,Male,
891.0,1992.0,,42003020100,Male,Black
210.0,1984.0,,42003515100,Male,Black
7.0,1990.0,,42111021100,Male,Black
1414.0,1992.0,,42129801500,Male,Black
2073.0,1996.0,,42003111300,Male,Black
1093.0,1996.0,,42003101400,Male,White
2151.0,2005.0,,42003521402,Male,Black
186.0,1989.0,,42003523501,Male,Black
934.0,1988.0,,42003480300,Male,Black
1128.0,1998.0,,42003310200,Male,Black
401.0,1993.0,,42073011700,Male,White
263.0,1976.0,,42101025300,Male,White
1378.0,1979.0,,42019902400,Male,Black
1130.0,1999.0,,42003465600,Female,Black
644.0,1985.0,,42003426800,Male,White
13.0,1978.0,,42021000600,Male,Black
1870.0,2002.0,,42003504100,Male,Black
1263.0,1992.0,,42003408001,Male,Black
2047.0,2000.0,,42007605500,Male,White
2203.0,2004.0,,42003130200,Male,Black
1179.0,2000.0,,42003508000,Male,Black
1249.0,2002.0,,42003526201,Male,Black
787.0,1990.0,,42003513800,Male,Black
831.0,2000.0,,42003130600,Male,Black
